District,Carmen Vega (1C) ,Michael Yun (3C) ,Moriah Kinberg (5C) ,Rafael Torres (7C),mo_percentage
1,16,80,25,3,20.16%
2,7,61,22,3,23.66%
3,14,77,68,2,42.24%
4,12,94,117,3,51.77%
5,12,118,73,5,35.10%
6,6,102,53,4,32.12%
7,12,92,95,4,46.80%
8,10,85,71,3,42.01%
9,5,112,69,4,36.32%
10,11,80,72,3,43.37%
11,11,35,18,3,26.87%
12,18,96,36,8,22.78%
13,29,162,60,5,23.44%
14,9,62,29,4,27.88%
15,24,136,39,5,19.12%
16,6,77,18,13,15.79%
17,18,100,35,6,22.01%
18,11,72,21,5,19.27%
19,18,83,49,3,32.03%
20,39,97,60,2,30.30%
21,15,85,61,7,36.31%
22,9,118,31,10,18.45%
23,12,68,29,0,26.61%
24,5,69,25,4,24.27%
25,22,124,28,3,15.82%
26,11,86,31,4,23.48%
27,16,108,54,8,29.03%
28,12,73,24,4,21.24%
29,7,61,22,3,23.66%